Class,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
k,0.11661788076162338,0.6268396973609924,0.18292980641126633,0.5295003056526184,0.19314809888601303,0.3809589147567749,0.1651797667145729,0.27771246433258057,0.15701129287481308,0.18655991554260254,0.17654063552618027,0.31725382804870605,0.20502644032239914,0.19425389170646667,0.2202109917998314,0.11858052015304565,0.22889366000890732,0.05011218786239624,0.11303707212209702,0.32118338346481323,0.10140318423509598,0.1681613326072693,0.09620889276266098,0.08446407318115234,0.08264157921075821,0.0,0.05386292189359665,0.3622496724128723,0.058818720281124115,0.30037033557891846,0.09723063558340073,0.4005810022354126,0.10802718251943588,0.4457266330718994,0.0,0.42403823137283325,0.017822913825511932,0.3739081621170044,0.06161925941705704,0.44739753007888794,0.0744389072060585,0.4800916314125061
k,0.11854085326194763,0.6277672648429871,0.1858086884021759,0.5334479808807373,0.19653058052062988,0.3827177882194519,0.1650368571281433,0.27829086780548096,0.1574961394071579,0.18587923049926758,0.17762506008148193,0.32001274824142456,0.20728105306625366,0.19754797220230103,0.22279679775238037,0.12182146310806274,0.23156583309173584,0.05281221866607666,0.11378949880599976,0.3223798871040344,0.10525408387184143,0.1707901954650879,0.10077418386936188,0.08641940355300903,0.08762484788894653,0.0,0.054178282618522644,0.36187559366226196,0.062363386154174805,0.30060309171676636,0.0984954982995987,0.4018935561180115,0.10732373595237732,0.44787532091140747,0.0,0.422829806804657,0.02048090100288391,0.37474578619003296,0.06254450976848602,0.4493430256843567,0.07321448624134064,0.4820358157157898
k,0.11048820614814758,0.6190343797206879,0.17449447512626648,0.5194295942783356,0.1831740438938141,0.3730984032154083,0.1582251638174057,0.2675837576389313,0.154600590467453,0.1778247058391571,0.17694693803787231,0.30826786160469055,0.20157048106193542,0.18905985355377197,0.2143464982509613,0.11444327235221863,0.220287024974823,0.0471518337726593,0.11425693333148956,0.31442221999168396,0.10152126848697662,0.16548463702201843,0.08981695771217346,0.08152064681053162,0.07328209280967712,0.0,0.05427270382642746,0.3554171025753021,0.047213464975357056,0.29346802830696106,0.08378303050994873,0.390468031167984,0.1003343015909195,0.4401778280735016,0.0,0.41590824723243713,0.004587650299072266,0.3623705208301544,0.04544353485107422,0.43440428376197815,0.06324143707752228,0.47453227639198303
k,0.14761707931756973,0.821845531463623,0.23055411130189896,0.6938737034797668,0.2399083748459816,0.5026854276657104,0.19999263435602188,0.3648684620857239,0.1872328296303749,0.24793952703475952,0.22871661931276321,0.42167049646377563,0.2634168639779091,0.2652730643749237,0.28042004257440567,0.16462618112564087,0.29117605835199356,0.07457143068313599,0.14613667875528336,0.428260862827301,0.12538015097379684,0.23067337274551392,0.10858798772096634,0.11336567997932434,0.08746106177568436,0.0,0.06898611038923264,0.484951376914978,0.0573667511343956,0.39028024673461914,0.11117779463529587,0.5143638849258423,0.13592464476823807,0.5826509594917297,0.0,0.5698955655097961,0.005319051444530487,0.49292975664138794,0.06546895951032639,0.582897424697876,0.09125982969999313,0.635003387928009
k,0.15216165781021118,0.6990365386009216,0.07177165150642395,0.6238481998443604,0.049790769815444946,0.46108657121658325,0.09010857343673706,0.33373671770095825,0.09880721569061279,0.24303817749023438,0.08502382040023804,0.3488885164260864,0.04399639368057251,0.21167409420013428,0.017791152000427246,0.12845367193222046,0.0,0.05496847629547119,0.1531299352645874,0.3509960174560547,0.1410512924194336,0.19106978178024292,0.13351666927337646,0.09015589952468872,0.1362917423248291,0.0,0.21856164932250977,0.3980536460876465,0.20604658126831055,0.33837366104125977,0.1529092788696289,0.4425427317619324,0.12057751417160034,0.5189644694328308,0.27513587474823,0.47524601221084595,0.2483547329902649,0.45607709884643555,0.19545626640319824,0.5174626111984253,0.16095596551895142,0.5610373020172119
k,0.168572336435318,0.6952327191829681,0.08258312940597534,0.6333944499492645,0.055246502161026,0.4721886217594147,0.09107473492622375,0.34209099411964417,0.10077324509620667,0.25194409489631653,0.09016093611717224,0.36489227414131165,0.04261520504951477,0.22766640782356262,0.01478162407875061,0.14138206839561462,0.0,0.06665271520614624,0.16095557808876038,0.3615451753139496,0.14140674471855164,0.20328965783119202,0.12980851531028748,0.0964084267616272,0.13217249512672424,0.0,0.22730615735054016,0.40160176157951355,0.20832940936088562,0.3418509066104889,0.1602979600429535,0.4461109936237335,0.13381871581077576,0.522518664598465,0.2846463620662689,0.4684657156467438,0.24742111563682556,0.4717412292957306,0.19640502333641052,0.5331176817417145,0.16521087288856506,0.5710185468196869
k,0.1783469319343567,0.682302325963974,0.09837314486503601,0.6263523995876312,0.06683072447776794,0.4668830931186676,0.08922550082206726,0.3341613709926605,0.0904044508934021,0.24190211296081543,0.0978836715221405,0.37469616532325745,0.04937714338302612,0.24168795347213745,0.018458425998687744,0.1562584638595581,0.0,0.08246347308158875,0.169467031955719,0.3640535771846771,0.14469307661056519,0.20825758576393127,0.12763643264770508,0.09989571571350098,0.12353792786598206,0.0,0.24041146039962769,0.398497074842453,0.21211600303649902,0.3376900851726532,0.16658824682235718,0.44330933690071106,0.14193397760391235,0.5216457545757294,0.3030598759651184,0.46280863881111145,0.2607971429824829,0.46320244669914246,0.21094566583633423,0.5257438123226166,0.18148642778396606,0.565560907125473
k,0.18924587965011597,0.673293262720108,0.11115127801895142,0.6182402074337006,0.0757489800453186,0.4627213180065155,0.09769225120544434,0.33286377787590027,0.10231664776802063,0.2422190010547638,0.09959426522254944,0.36510512232780457,0.049164533615112305,0.24038347601890564,0.018106698989868164,0.15730813145637512,0.0,0.0855303704738617,0.1700735092163086,0.35097673535346985,0.14376819133758545,0.19624093174934387,0.1240297257900238,0.09302899241447449,0.11809611320495605,0.0,0.2436884045600891,0.3845035135746002,0.20819717645645142,0.32830479741096497,0.1677151322364807,0.4398895800113678,0.1510825753211975,0.5204230844974518,0.309292197227478,0.44877782464027405,0.26424843072891235,0.4510931670665741,0.216877281665802,0.5156340897083282,0.19329828023910522,0.5576694309711456
k,0.21947818994522095,0.6691854894161224,0.14022207260131836,0.6310236752033234,0.09978190064430237,0.4827147424221039,0.12357619404792786,0.3477908670902252,0.1193288266658783,0.2522495985031128,0.11472928524017334,0.36338838934898376,0.06254491209983826,0.24087342619895935,0.026333868503570557,0.16386136412620544,0.0,0.0941220223903656,0.1866549849510193,0.3465985953807831,0.15240779519081116,0.1930963695049286,0.12667158246040344,0.09372565150260925,0.11358445882797241,0.0,0.2605403661727905,0.37751373648643494,0.22698110342025757,0.33221641182899475,0.1892564296722412,0.45118698477745056,0.17320209741592407,0.5320919454097748,0.32732200622558594,0.43874821066856384,0.2815459966659546,0.4430943429470062,0.2419305443763733,0.518178254365921,0.22489190101623535,0.5638459622859955
k,0.2808007597923279,0.6132866442203522,0.19416525959968567,0.5853272378444672,0.1385808289051056,0.44703933596611023,0.1439894437789917,0.3142111003398895,0.13834688067436218,0.2237982451915741,0.14350372552871704,0.35196229815483093,0.07677227258682251,0.24326416850090027,0.033077389001846313,0.17730385065078735,0.0,0.11389496922492981,0.21057185530662537,0.3188689649105072,0.1613648533821106,0.1761447787284851,0.11973249912261963,0.08684667944908142,0.09113967418670654,0.0,0.2867770791053772,0.33025452494621277,0.24132615327835083,0.2860877811908722,0.2204955816268921,0.41534754633903503,0.21791264414787292,0.49877312779426575,0.3573415279388428,0.375334769487381,0.3037254214286804,0.38624516129493713,0.2689394950866699,0.47247514128685,0.2571265697479248,0.5282329618930817
